Date,Site,Nest,Band,BroodSize,ChickAge,Tagged,BroodTrt,Time,BloodGluc,R1_coll,R1_date,R1_mm,Mass,Notes,heterophils,eosinophils,basophils,monocytes,lymphocytes,thrombocytes,HL_ratio,microflaria,hemoproteus,plasmodium,malaria,notes
6/25/2019,Blue Cloud,4,2350-21087,6,5,Y,R,21:20:00,229,prev,6/10/2019,NA,17.83,R1 collected 6/10/19,15,0,3,5,77,9,0.19,NA,,NA,NA,
7/7/2019,Blue Cloud,4,2350-21087,3,17,Y,R,20:26:00,246,prev,6/10/2019,36,17.15,,33,2,8,5,52,42,0.63,NA,,NA,NA,
6/27/2019,Blue Cloud,8,2350-21089,4,7,N,E,7:19:00,217,prev,6/10/2019,NA,17.51,R1 collected 6/10/19,19,2,3,6,70,81,0.27,NA,,NA,NA,
7/3/2019,Blue Cloud,8,2350-21089,5,13,N,E,19:16:00,253,prev,6/10/2019,0,17.79,20min in bag,23,1,3,4,69,74,0.33,NA,,NA,4,Gold malaria flecks in slide
7/4/2019,Grizz,136,2350-21095,2,6,Y,E,12:24:00,240,prev,6/17/2019,21,15.86,,15,2,8,25,50,108,0.3,NA,,NA,3,Gold malaria flecks in slide
7/11/2019,Grizz,136,2350-21095,4,13,Y,E,12:36:00,228,prev,6/17/2019,42,15.15,,20,1,16,15,48,157,0.42,NA,,NA,NA,
6/14/2019,Van Loon,1,2350-21097,5,5,N,E,22:25:00,238,Y,6/14/2019,NA,18.7,Blood drawn >1min out of bag,27,6,8,14,45,99,0.6,NA,,NA,NA,
6/10/2020,Van Loon,29,2510-63484,5,4,Y,E,20:34:00,243,Y,6/10/2020,NA,18.61,,35,5,2,0,58,120,0.6,NA,,NA,NA,
6/22/2020,Van Loon,29,2510-63484,7,16,Y,E,13:43:00,235,prev,6/10/2020,4,16.46,,32,2,5,2,59,>150,0.54,NA,,NA,NA,
6/14/2019,Van Loon,27,2510-63486,3,5,Y,R,22:15:00,222,Y,6/14/2019,NA,19.9,,59,1,7,7,26,72,2.27,NA,,NA,NA,
6/23/2019,Van Loon,27,2510-63486,1,14,Y,R,4:23:00,207,prev,6/14/2019,NA,17.41,R1 not measured,49,1,6,10,32,45,1.53,NA,,NA,NA,difficult to read
6/11/2020,Cooks,8,2640-97087,5,4,N,E,21:20:00,240,Y,6/11/2020,NA,19.26,,35,4,1,3,57,55,0.61,NA,,NA,NA,
6/20/2020,Cooks,8,2640-97087,7,13,N,E,18:28:00,265,prev,6/11/2020,5,18.2,,46,1,5,1,47,16,0.98,NA,,NA,NA,some heterophils looked odd. 
6/20/2019,Schaaps,110.2,2640-97337,5,4,Y,R,22:10:00,244,prev,6/11/2019,NA,19.14,20min in bag,36,3,4,21,36,2,1,NA,>7,NA,NA,
7/4/2019,Schaaps,110.2,2640-97337,3,18,Y,R,15:42:00,293,prev,6/11/2019,32,17.63,,33,3,2,9,53,40,0.62,NA,,NA,NA,
6/12/2020,Make Believe,34,2640-97366,4,5,Y,R,21:40:00,213,Y,6/12/2020,NA,17.06,,49,2,6,2,41,32,1.2,NA,,NA,NA,"Difficult to read, not 100% confident"
6/20/2020,Make Believe,34,2640-97366,3,13,Y,R,10:05:00,209,prev,6/12/2020,0,15.85,,49,6,4,1,40,>150,1.23,NA,,NA,NA,"very difficult to read, not 100% confident"
6/9/2020,Hoops,7,2640-97374,3,4,N,R,22:05:00,266,Y,6/9/2020,NA,17.55,,60,6,0,2,32,70,1.88,NA,,NA,1,difficult to read
6/20/2020,Hoops,7,2640-97374,1,15,N,R,17:10:00,257,prev,6/9/2020,7,17.05,,41,1,4,3,51,98,0.8,NA,,NA,NA,
6/20/2020,Hoops,25,2640-97378,4,4,Y,E,17:20:00,240,Y,6/20/2020,NA,17.87,,47,1,4,5,43,42,1.09,NA,,NA,NA,
6/30/2020,Hoops,25,2640-97378,6,14,Y,E,6:52:00,170,prev,6/20/2020,2,16.57,,53,5,4,3,35,95,1.51,NA,,NA,NA,
6/23/2020,Folsom/Mapleton,2,2640-97381,3,3,N,R,21:15:00,263,Y,6/23/2020,NA,17.55,,42,2,1,3,52,62,0.81,NA,,NA,NA,
7/5/2020,Folsom/Mapleton,2,2640-97381,1,15,N,R,8:48:00,210,prev,6/23/2020,5.5,15.03,,19,2,4,6,69,63,0.28,NA,,NA,NA,
6/24/2020,Hayes,11,2640-97383,4,4,N,E,19:53:00,233,Y,6/24/2020,NA,16.92,,25,1,2,2,70,44,0.36,NA,,NA,NA,
7/3/2020,Hayes,11,2640-97383,6,13,N,E,19:43:00,208,prev,6/24/2020,3.5,16.23,,37,1,3,1,58,65,0.64,NA,,NA,NA,
6/24/2019,Schaaps,114,2640-97500,4,5,Y,R,21:47:00,206,prev ,6/11/2019,NA,18.51,,34,0,1,23,42,32,0.81,NA,,NA,NA,difficult to read
7/6/2019,Schaaps,114,2640-97500,2,17,Y,R,15:26:00,287,Y,7/6/2019,39,17.55,,73,0,2,14,11,59,6.64,NA,,NA,NA,
6/23/2019,Baseline,12,2640-97542,4,5,N,R,21:52:00,183,Y,6/23/2019,NA,17.64,,49,3,2,15,31,57,1.58,NA,,NA,NA,
7/1/2019,Baseline,12,2640-97542,3,13,N,R,18:43:00,197,Y,7/1/2019,0,18.16,20min in bag,32,0,3,6,59,67,0.54,NA,,NA,NA,
6/24/2019,Baseline,10,2640-97544,5,5,N,E,23:58:00,201,Y,6/24/2019,NA,18.4,,33,2,3,14,48,122,0.69,NA,,NA,NA,
7/8/2019,Baseline,10,2640-97544,6,19,N,E,15:18:00,263,Y,7/8/2019,5.5,18.73,"brood size enlarged from 4 to 6, but on this particular day only 3N left in nest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
