Site,Nest,Band,Tagged,BroodTrt,Year,Date_1,Date_2,Time_1,Time_2,BroodSize_1,BroodSize_2,ChickAge_1,ChickAge_2,BloodGluc_1,BloodGluc_2,R1_coll_1,R1_coll_2,R1_date_1,R1_date_2,R1_mm_1,R1_mm_2,Mass_1,Mass_2,HL_ratio_1,HL_ratio_2,Hatch_1,CI_1,Nest1Eggs,Nest1Fledge,Nest2,Nest2ID,CI_2,Nest2Eggs,SiteSize,Region,Mass_diff,Gluc_diff,Day_diff,HL_diff,R1_mm_day,trt,CI_1_j,CI_2_j,ICI,GPS_tag
BlueCloud,1,2640-97592,Y,R,2020,6/6/2020,6/15/2020,7:00:00,19:02:00,5,1,4,13,162,218,Y,prev,6/6/2020,6/6/2020,NA,3,18.57,18.68,0.49,0.36,6/2/2020,5/16/2020,5,20,Y,1.2,7/1/2020,4,3,NOBO,0.11,56,9,-0.13,0.333333333,Y_R,137,183,46,49339
BlueCloud,3,2850-57444,Y,E,2020,6/13/2020,6/24/2020,21:05:00,8:30:00,4,5,4,15,201,223,Y,prev,6/13/2020,6/13/2020,NA,5,18.97,17.93,0.39,0.65,6/9/2020,5/21/2020,5,20,N,NA,NA,NA,3,NOBO,-1.04,22,11,0.26,0.454545455,Y_E,142,NA,NA,49328
BlueCloud,4,2350-21087,Y,R,2019,6/25/2019,7/7/2019,21:20:00,20:26:00,6,3,5,17,229,246,prev,prev,6/10/2019,6/10/2019,NA,36,17.83,17.15,0.19,0.63,6/20/2019,6/2/2019,6,19,NA,NA,NA,NA,3,NOBO,-0.68,17,12,0.44,3,Y_R,153,NA,NA,49326
BlueCloud,6,2850-57445,Y,R,2019,6/24/2019,7/23/2019,22:45:00,21:20:00,5,3,5,34,210,248,prev,prev,6/10/2019,6/10/2019,NA,41,18.43,19.6,0.38,0.91,6/19/2019,5/31/2019,5,18,Y,6.2,7/14/2019,4,3,NOBO,1.17,38,29,0.53,1.413793103,Y_R,151,195,44,49323
BlueCloud,10,2850-57446,Y,E,2019,6/28/2019,7/6/2019,21:14:00,20:05:00,4,6,5,13,243,281,prev,prev,6/10/2019,6/28/2019,NA,40,18.04,17.73,1.59,1.87,6/23/2019,6/4/2019,4,23,NA,NA,NA,NA,3,NOBO,-0.31,38,8,0.28,5,Y_E,155,NA,NA,49325
Folsom,1,2640-97556,Y,R,2019,6/29/2019,7/7/2019,22:55:00,17:18:00,4,2,5,13,195,288,N,N,NA,NA,NA,40.5,16.95,15.94,0.38,0.94,6/24/2019,6/5/2019,5,21,N,NA,NA,NA,5,FM,-1.01,93,8,0.56,5.0625,Y_R,156,NA,NA,49321
Folsom,4,2640-97547,Y,E,2019,6/25/2019,7/4/2019,23:33:00,10:14:00,4,4,5,14,197,316,Y,prev,6/25/2019,6/25/2019,NA,0,17.81,17.2,1.86,0.37,6/20/2019,6/1/2019,5,21,Y,2,7/24/2019,4,5,FM,-0.61,119,9,-1.49,0,Y_E,152,205,53,49334
Folsom,5,2640-97562,Y,E,2020,6/15/2020,6/25/2020,21:47:00,21:32:00,3,5,5,15,172,194,Y,prev,6/15/2020,6/15/2020,NA,2,17.46,16.45,0.39,1.14,6/10/2020,5/24/2020,3,23,Y,6,7/13/2020,3,5,FM,-1.01,22,10,0.75,0.2,Y_E,145,195,50,49341
Folsom,6,2640-97578,Y,R,2019,7/11/2019,7/22/2019,21:32:00,6:24:00,4,2,5,16,213,173,Y,prev,7/11/2019,7/11/2019,NA,5,18.2,17.12,0.28,0.22,7/6/2019,6/18/2019,4,23,N,NA,NA,NA,5,FM,-1.08,-40,11,-0.06,0.454545455,Y_R,169,NA,NA,49322
Folsom,9,2640-97559,Y,R,2019,6/29/2019,7/7/2019,0:05:00,16:25:00,4,2,6,14,170,267,Y,prev,6/29/2019,6/29/2019,NA,0,18.8,18.95,0.88,0.83,6/23/2019,6/3/2019,5,22,Y,9.2,7/26/2019,5,5,FM,0.15,97,8,-0.05,0,Y_R,154,207,53,49335
