"","Band","GPS_tag","Day9","Day10","Index","Status","Sats","RTC-date","RTC-time","FIX-date","FIX-time","Delta(s)","Latitude","Longitude","Altitude(m)","HDOP","eRes","Temperature(C)","Voltage(V)","filename","year","nest","site"
"1","2640-97592",49339,2020-06-11,2020-06-12,72,"Valid","7/7","20/06/12",12:45:06,"20/06/12",44:44:00,-21.242,40.13688,-105.21051,1560.65,1.2,0.8,0,NA,"PinPoint 49339 2020 BlueCloud 1",2020,1,"BlueCloud"
"2","2640-97592",49339,2020-06-11,2020-06-12,74,"Valid","9/9","20/06/12",13:10:04,"20/06/12",09:42:00,-21.321,40.13582,-105.21279,1569.58,0.9,3.3,0,NA,"PinPoint 49339 2020 BlueCloud 1",2020,1,"BlueCloud"
"3","2640-97592",49339,2020-06-11,2020-06-12,81,"Valid","8/9","20/06/12",14:20:11,"20/06/12",19:49:00,-21.991,40.13667,-105.21313,1580.55,1.7,1.6,0,NA,"PinPoint 49339 2020 BlueCloud 1",2020,1,"BlueCloud"
"4","2640-97592",49339,2020-06-11,2020-06-12,82,"Valid","9/9","20/06/12",14:30:11,"20/06/12",29:49:00,-21.481,40.1359,-105.21338,1576.79,1.1,1.8,0,NA,"PinPoint 49339 2020 BlueCloud 1",2020,1,"BlueCloud"
"5","2850-57444",49328,2020-06-18,2020-06-19,54,"Valid","9/9","20/06/19",13:00:08,"20/06/19",59:49:00,-18.624,40.13765,-105.21327,1573.69,0.9,2,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"6","2850-57444",49328,2020-06-18,2020-06-19,55,"Valid","9/9","20/06/19",13:10:10,"20/06/19",09:51:00,-18.658,40.13769,-105.21364,1568.52,0.8,0.8,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"7","2850-57444",49328,2020-06-18,2020-06-19,56,"Valid","9/9","20/06/19",13:20:11,"20/06/19",19:52:00,-18.672,40.13598,-105.21283,1566.6,0.9,2.9,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"8","2850-57444",49328,2020-06-18,2020-06-19,57,"Valid","9/9","20/06/19",13:30:10,"20/06/19",29:51:00,-18.706,40.13604,-105.21267,1571.73,0.9,1,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"9","2850-57444",49328,2020-06-18,2020-06-19,58,"Valid","9/9","20/06/19",13:40:11,"20/06/19",39:52:00,-18.797,40.13759,-105.20885,1562.47,1,0.6,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"10","2850-57444",49328,2020-06-18,2020-06-19,59,"Valid","8/8","20/06/19",13:50:11,"20/06/19",49:52:00,-19.002,40.13686,-105.20825,1556.71,1,0.6,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"11","2850-57444",49328,2020-06-18,2020-06-19,60,"Valid","9/9","20/06/19",14:00:11,"20/06/19",59:52:00,-18.773,40.13587,-105.21247,1569.4,1.1,1.4,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"12","2850-57444",49328,2020-06-18,2020-06-19,61,"Valid","8/8","20/06/19",14:10:11,"20/06/19",09:52:00,-18.791,40.13588,-105.21285,1583.69,1.3,1.2,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"13","2850-57444",49328,2020-06-18,2020-06-19,62,"Valid","9/9","20/06/19",14:20:09,"20/06/19",19:50:00,-18.819,40.13759,-105.21357,1570.97,1.2,0.7,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"14","2850-57444",49328,2020-06-18,2020-06-19,63,"Valid","8/8","20/06/19",14:30:04,"20/06/19",29:45:00,-18.836,40.13593,-105.21291,1561.88,1.3,4.1,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
"15","2850-57444",49328,2020-06-18,2020-06-19,65,"Valid","8/8","20/06/19",14:50:10,"20/06/19",49:51:00,-18.89,40.13596,-105.21278,1568.19,1.1,1.7,0,NA,"PinPoint 49328 2020 BlueCloud 3",2020,3,"BlueCloud"
